algorithm,level,qps,total_req,p50_us,p90_us,p95_us,p99_us,errors
prequal,103pct,348.5814,21390,409500,1335000,1801100,2787600,0
prequal,114pct,366.5219,22421,419100,1371400,1827700,2759600,0
prequal,127pct,377.1857,23111,435600,1436500,1924200,3034200,0
prequal,141pct,374.6771,23093,443100,1540400,2051500,3130700,0
prequal,157pct,370.6310,22665,454900,1655600,2170000,3307600,0
prequal,174pct,371.1431,22640,445200,1725700,2285700,3349700,0
prequal,75pct,291.2715,17837,405100,855900,965000,1359400,0
prequal,83pct,319.7848,19534,412700,900000,1155800,1812500,0
prequal,93pct,339.2872,20789,401600,1203200,1551900,2390400,0
rr,103pct,343.2014,21061,439900,1441900,1877300,2863500,0
rr,114pct,354.2795,21634,454200,1506800,1970500,3013400,0
rr,127pct,360.5922,22115,437000,1596100,2100900,3265900,0
rr,141pct,353.8792,21794,476300,1701600,2214300,3356800,0
rr,157pct,354.6382,21713,478200,1774500,2325600,3488700,0
rr,174pct,355.7523,21689,463500,1844700,2415900,3563400,0
rr,75pct,291.2366,17835,424200,866500,971500,1398900,0
rr,83pct,319.1726,19527,417400,925200,1221100,1803500,0
rr,93pct,336.0266,20619,445900,1270200,1619500,2452300,0
