algorithm,level,qps,total_req,p50_us,p90_us,p95_us,p99_us,errors
prequal,103pct,651.4666,40188,660700,1184800,1348500,1826200,0
prequal,114pct,718.8130,44203,670000,1207000,1363100,2248400,0
prequal,127pct,780.9361,47824,736300,1554800,1992600,2994100,0
prequal,141pct,802.2374,49549,782000,1893600,2357500,3459600,0
prequal,157pct,822.9206,50658,837900,2030300,2502800,3644600,0
prequal,174pct,841.7163,52025,831300,2084800,2582300,3751000,0
prequal,75pct,473.6612,29456,581800,1132400,1245200,1490200,0
prequal,83pct,523.0343,32519,642700,1126900,1257100,1498100,0
prequal,93pct,586.4120,36184,641400,1147000,1298700,1577200,0
rr,103pct,640.6078,39702,648900,1402200,1912100,2955800,0
rr,114pct,688.1142,42498,594300,1714900,2369300,3732100,0
rr,127pct,726.3184,45538,541900,1860500,2627200,4242000,0
rr,141pct,755.7122,47790,543000,1967300,2881700,4845800,0
rr,157pct,786.0568,49481,565400,2216200,3097000,5050000,0
rr,174pct,797.2442,50615,537200,2373000,3312400,5539500,0
rr,75pct,471.0606,29354,581800,1117300,1299200,1556200,0
rr,83pct,523.2598,32503,666800,1187100,1392000,1651300,0
rr,93pct,581.4515,36226,640500,1250300,1491600,2090100,0
