response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0102,0.0013,0.0000,0.0025,0.0062,0.0001,200,1.0784
0.0102,0.0011,0.0000,0.0024,0.0066,0.0000,200,1.0785
0.0104,0.0009,0.0000,0.0017,0.0076,0.0000,200,1.0784
0.0136,0.0026,0.0000,0.0041,0.0066,0.0000,200,1.0755
0.0145,0.0009,0.0000,0.0023,0.0112,0.0001,200,1.0786
0.0099,0.0006,0.0000,0.0005,0.0086,0.0000,200,1.0882
0.0200,0.0112,0.0000,0.0009,0.0077,0.0000,200,1.0781
0.0216,0.0015,0.0000,0.0026,0.0174,0.0000,200,1.0782
0.0241,0.0045,0.0000,0.0025,0.0166,0.0000,200,1.0758
0.0260,0.0028,0.0000,0.0087,0.0144,0.0000,200,1.0764
0.0267,0.0013,0.0000,0.0003,0.0243,0.0000,200,1.0757
0.0208,0.0006,0.0000,0.0009,0.0192,0.0000,200,1.0881
0.0208,0.0008,0.0000,0.0007,0.0192,0.0000,200,1.0881
0.0198,0.0007,0.0000,0.0033,0.0156,0.0000,200,1.0892
0.0313,0.0104,0.0000,0.0012,0.0196,0.0000,200,1.0777
0.0204,0.0033,0.0000,0.0044,0.0125,0.0000,200,1.0887
0.0209,0.0009,0.0000,0.0008,0.0191,0.0000,200,1.0881
0.0201,0.0019,0.0000,0.0038,0.0143,0.0000,200,1.0890
0.0203,0.0028,0.0000,0.0042,0.0132,0.0000,200,1.0888
0.0307,0.0014,0.0000,0.0027,0.0265,0.0000,200,1.0784
0.0210,0.0007,0.0000,0.0010,0.0192,0.0000,200,1.0881
0.0308,0.0019,0.0000,0.0026,0.0262,0.0000,200,1.0783
0.0333,0.0000,0.0000,0.0000,0.0192,0.0000,200,1.0759
0.0328,0.0000,0.0000,0.0000,0.0191,0.0001,200,1.0765
0.0212,0.0010,0.0000,0.0009,0.0192,0.0000,200,1.0881
0.0310,0.0100,0.0000,0.0014,0.0195,0.0000,200,1.0783
0.0323,0.0118,0.0000,0.0015,0.0188,0.0000,200,1.0771
0.0283,0.0083,0.0000,0.0008,0.0191,0.0000,200,1.0810
0.0325,0.0000,0.0000,0.0000,0.0116,0.0000,200,1.0769
0.0315,0.0127,0.0000,0.0037,0.0151,0.0000,200,1.0780
0.0211,0.0047,0.0000,0.0048,0.0114,0.0000,200,1.0884
0.0214,0.0007,0.0000,0.0004,0.0202,0.0000,200,1.0881
0.0192,0.0040,0.0000,0.0025,0.0126,0.0000,200,1.0903
0.0200,0.0016,0.0000,0.0022,0.0161,0.0000,200,1.0895
0.0200,0.0052,0.0000,0.0030,0.0116,0.0000,200,1.0896
0.0214,0.0007,0.0000,0.0006,0.0199,0.0000,200,1.0881
0.0192,0.0039,0.0000,0.0026,0.0126,0.0000,200,1.0904
0.0211,0.0034,0.0000,0.0043,0.0133,0.0000,200,1.0885
0.0209,0.0029,0.0000,0.0041,0.0139,0.0000,200,1.0887
0.0211,0.0037,0.0000,0.0045,0.0128,0.0000,200,1.0886
0.0215,0.0045,0.0000,0.0048,0.0121,0.0000,200,1.0881
0.0197,0.0054,0.0000,0.0032,0.0110,0.0000,200,1.0900
0.0214,0.0026,0.0000,0.0037,0.0150,0.0000,200,1.0883
0.0197,0.0048,0.0000,0.0029,0.0119,0.0000,200,1.0900
0.0205,0.0012,0.0000,0.0034,0.0158,0.0000,200,1.0892
0.0197,0.0053,0.0000,0.0031,0.0113,0.0000,200,1.0900
0.0326,0.0116,0.0000,0.0014,0.0195,0.0000,200,1.0772
0.0294,0.0150,0.0000,0.0005,0.0138,0.0000,200,1.0912
0.0291,0.0125,0.0000,0.0007,0.0158,0.0000,200,1.0915
0.0305,0.0046,0.0000,0.0028,0.0230,0.0000,200,1.0902
0.0303,0.0182,0.0000,0.0003,0.0116,0.0000,200,1.0904
0.0295,0.0142,0.0000,0.0003,0.0149,0.0000,200,1.0913
0.0298,0.0157,0.0000,0.0004,0.0135,0.0000,200,1.0910
0.0299,0.0085,0.0000,0.0009,0.0203,0.0000,200,1.0909
0.0294,0.0125,0.0000,0.0006,0.0161,0.0000,200,1.0915
0.0307,0.0186,0.0000,0.0005,0.0115,0.0000,200,1.0902
0.0431,0.0000,0.0000,0.0000,0.0207,0.0000,200,1.0779
0.0281,0.0080,0.0000,0.0004,0.0196,0.0000,200,1.0929
0.0296,0.0135,0.0000,0.0004,0.0153,0.0003,200,1.0915
0.0400,0.0273,0.0000,0.0002,0.0124,0.0000,200,1.0811
0.0282,0.0081,0.0000,0.0005,0.0195,0.0001,200,1.0929
0.0428,0.0000,0.0000,0.0004,0.0153,0.0000,200,1.0783
0.0313,0.0057,0.0000,0.0036,0.0220,0.0000,200,1.0898
0.0310,0.0044,0.0000,0.0026,0.0239,0.0000,200,1.0902
0.0434,0.0000,0.0000,0.0001,0.0226,0.0000,200,1.0778
0.0278,0.0048,0.0000,0.0008,0.0220,0.0000,200,1.0935
0.0303,0.0159,0.0000,0.0003,0.0140,0.0000,200,1.0909
0.0308,0.0176,0.0000,0.0001,0.0130,0.0000,200,1.0905
0.0289,0.0093,0.0000,0.0002,0.0193,0.0001,200,1.0924
0.0291,0.0100,0.0000,0.0002,0.0188,0.0000,200,1.0922
0.0303,0.0138,0.0000,0.0003,0.0161,0.0000,200,1.0911
0.0432,0.0000,0.0000,0.0000,0.0188,0.0000,200,1.0781
0.0424,0.0125,0.0000,0.0046,0.0252,0.0000,200,1.0790
0.0286,0.0071,0.0000,0.0004,0.0210,0.0000,200,1.0928
0.0309,0.0182,0.0000,0.0001,0.0125,0.0000,200,1.0905
0.0327,0.0016,0.0000,0.0035,0.0274,0.0000,200,1.0888
0.0293,0.0099,0.0000,0.0002,0.0190,0.0001,200,1.0923
0.0316,0.0056,0.0000,0.0036,0.0219,0.0004,200,1.0900
0.0297,0.0107,0.0000,0.0008,0.0181,0.0000,200,1.0919
0.0325,0.0015,0.0000,0.0037,0.0271,0.0000,200,1.0891
0.0434,0.0235,0.0000,0.0004,0.0194,0.0000,200,1.0782
0.0403,0.0000,0.0000,0.0001,0.0121,0.0000,200,1.0814
0.0314,0.0043,0.0000,0.0025,0.0244,0.0001,200,1.0903
0.0332,0.0040,0.0000,0.0046,0.0245,0.0000,200,1.0884
0.0301,0.0110,0.0000,0.0007,0.0181,0.0001,200,1.0916
0.0293,0.0092,0.0000,0.0003,0.0197,0.0000,200,1.0924
0.0325,0.0013,0.0000,0.0036,0.0275,0.0000,200,1.0892
0.0447,0.0000,0.0000,0.0047,0.0254,0.0000,200,1.0770
0.0332,0.0033,0.0000,0.0043,0.0255,0.0000,200,1.0886
0.0333,0.0042,0.0000,0.0049,0.0241,0.0000,200,1.0885
0.0297,0.0102,0.0000,0.0001,0.0193,0.0000,200,1.0921
0.0300,0.0115,0.0000,0.0006,0.0178,0.0000,200,1.0918
0.0418,0.0122,0.0000,0.0044,0.0251,0.0000,200,1.0800
0.0297,0.0102,0.0000,0.0003,0.0191,0.0000,200,1.0921
0.0298,0.0102,0.0000,0.0003,0.0192,0.0000,200,1.0921
0.0315,0.0013,0.0000,0.0048,0.0253,0.0000,200,1.0904
0.0330,0.0021,0.0000,0.0039,0.0267,0.0000,200,1.0889
0.0324,0.0063,0.0000,0.0037,0.0223,0.0000,200,1.0895
0.0444,0.0230,0.0000,0.0004,0.0209,0.0000,200,1.0776
0.0325,0.0007,0.0000,0.0035,0.0282,0.0000,200,1.0894
0.0287,0.0062,0.0000,0.0008,0.0217,0.0000,200,1.0933
0.0321,0.0060,0.0000,0.0036,0.0225,0.0000,200,1.0899
0.0458,0.0000,0.0000,0.0000,0.0320,0.0000,200,1.0762
0.0335,0.0038,0.0000,0.0045,0.0249,0.0001,200,1.0885
0.0325,0.0017,0.0000,0.0023,0.0284,0.0000,200,1.0896
0.0328,0.0007,0.0000,0.0034,0.0284,0.0000,200,1.0892
0.0321,0.0055,0.0000,0.0035,0.0230,0.0000,200,1.0899
0.0296,0.0077,0.0000,0.0005,0.0213,0.0000,200,1.0925
0.0449,0.0138,0.0000,0.0038,0.0271,0.0000,200,1.0772
0.0449,0.0000,0.0000,0.0000,0.0236,0.0001,200,1.0772
0.0319,0.0048,0.0000,0.0030,0.0241,0.0000,200,1.0902
0.0332,0.0023,0.0000,0.0040,0.0269,0.0000,200,1.0889
0.0325,0.0019,0.0000,0.0026,0.0280,0.0000,200,1.0897
0.0419,0.0113,0.0000,0.0049,0.0255,0.0000,200,1.0803
0.0458,0.0000,0.0000,0.0002,0.0316,0.0000,200,1.0764
0.0334,0.0024,0.0000,0.0041,0.0268,0.0000,200,1.0889
0.0337,0.0031,0.0000,0.0043,0.0262,0.0000,200,1.0886
0.0290,0.0059,0.0000,0.0006,0.0223,0.0000,200,1.0933
0.0338,0.0040,0.0000,0.0047,0.0250,0.0000,200,1.0885
0.0323,0.0051,0.0000,0.0030,0.0240,0.0001,200,1.0900
0.0307,0.0124,0.0000,0.0005,0.0177,0.0000,200,1.0916
0.0341,0.0046,0.0000,0.0048,0.0245,0.0001,200,1.0883
0.0410,0.0186,0.0000,0.0005,0.0218,0.0001,200,1.0814
0.0456,0.0274,0.0000,0.0004,0.0176,0.0000,200,1.0808
0.0351,0.0140,0.0000,0.0003,0.0207,0.0000,200,1.0913
0.0488,0.0000,0.0000,0.0000,0.0241,0.0000,200,1.0778
0.0344,0.0064,0.0000,0.0010,0.0268,0.0000,200,1.0932
0.0369,0.0178,0.0000,0.0002,0.0189,0.0000,200,1.0906
0.0465,0.0192,0.0000,0.0005,0.0267,0.0000,200,1.0814
0.0484,0.0228,0.0000,0.0008,0.0245,0.0001,200,1.0812
0.0420,0.0042,0.0000,0.0048,0.0329,0.0000,200,1.0883
0.0539,0.0040,0.0000,0.0401,0.0097,0.0000,200,1.0765
0.0413,0.0023,0.0000,0.0290,0.0100,0.0000,200,1.0897
0.0499,0.0000,0.0000,0.0001,0.0102,0.0000,200,1.0812
0.0532,0.0202,0.0000,0.0006,0.0322,0.0000,200,1.0780
0.0404,0.0167,0.0000,0.0003,0.0233,0.0000,200,1.0908
0.0396,0.0122,0.0000,0.0004,0.0269,0.0000,200,1.0917
0.0537,0.0107,0.0000,0.0013,0.0416,0.0000,200,1.0776
0.0380,0.0074,0.0000,0.0006,0.0300,0.0000,200,1.0933
0.0397,0.0107,0.0000,0.0009,0.0279,0.0001,200,1.0919
0.0529,0.0159,0.0000,0.0027,0.0340,0.0001,200,1.0787
0.0394,0.0095,0.0000,0.0003,0.0294,0.0000,200,1.0922
0.0410,0.0171,0.0000,0.0001,0.0236,0.0000,200,1.0906
0.0387,0.0078,0.0000,0.0006,0.0301,0.0000,200,1.0929
0.0410,0.0174,0.0000,0.0002,0.0232,0.0000,200,1.0906
0.0504,0.0252,0.0000,0.0005,0.0246,0.0001,200,1.0812
0.0387,0.0078,0.0000,0.0003,0.0302,0.0002,200,1.0929
0.0383,0.0047,0.0000,0.0006,0.0329,0.0000,200,1.0934
0.0542,0.0217,0.0000,0.0005,0.0319,0.0000,200,1.0774
0.0535,0.0000,0.0000,0.0000,0.0226,0.0001,200,1.0782
0.0418,0.0055,0.0000,0.0034,0.0328,0.0000,200,1.0900
0.0399,0.0114,0.0000,0.0005,0.0280,0.0000,200,1.0918
0.0506,0.0262,0.0000,0.0003,0.0239,0.0000,200,1.0812
0.0407,0.0145,0.0000,0.0004,0.0257,0.0000,200,1.0910
0.0402,0.0123,0.0000,0.0005,0.0272,0.0000,200,1.0916
0.0408,0.0150,0.0000,0.0004,0.0252,0.0001,200,1.0911
0.0390,0.0082,0.0000,0.0006,0.0301,0.0001,200,1.0929
0.0395,0.0094,0.0000,0.0002,0.0298,0.0000,200,1.0923
0.0385,0.0060,0.0000,0.0007,0.0318,0.0000,200,1.0934
0.0392,0.0070,0.0000,0.0003,0.0317,0.0000,200,1.0927
0.0413,0.0174,0.0000,0.0003,0.0235,0.0000,200,1.0907
0.0401,0.0106,0.0000,0.0011,0.0282,0.0000,200,1.0920
0.0411,0.0164,0.0000,0.0003,0.0244,0.0000,200,1.0909
0.0407,0.0134,0.0000,0.0003,0.0268,0.0001,200,1.0914
0.0400,0.0092,0.0000,0.0003,0.0304,0.0000,200,1.0925
0.0511,0.0000,0.0000,0.0002,0.0114,0.0000,200,1.0815
0.0401,0.0092,0.0000,0.0004,0.0294,0.0010,200,1.0926
0.0424,0.0164,0.0000,0.0003,0.0256,0.0000,200,1.0910
0.0528,0.0000,0.0000,0.0001,0.0114,0.0001,200,1.0821
0.0529,0.0000,0.0000,0.0005,0.0076,0.0000,200,1.0822
0.0445,0.0167,0.0000,0.0004,0.0273,0.0000,200,1.0908
0.0540,0.0000,0.0000,0.0003,0.0101,0.0000,200,1.0815
0.0537,0.0024,0.0000,0.0293,0.0218,0.0001,200,1.0895
0.0209,0.0030,0.0000,0.0024,0.0154,0.0001,200,1.1225
0.0609,0.0000,0.0000,0.0001,0.0131,0.0000,200,1.0826
0.0625,0.0000,0.0000,0.0006,0.0172,0.0001,200,1.0811
0.0616,0.0000,0.0000,0.0001,0.0210,0.0001,200,1.0820
0.0616,0.0000,0.0000,0.0003,0.0195,0.0000,200,1.0821
0.0621,0.0000,0.0000,0.0000,0.0151,0.0000,200,1.0816
0.0546,0.0035,0.0000,0.0306,0.0204,0.0001,200,1.0892
0.0222,0.0023,0.0000,0.0021,0.0176,0.0001,200,1.1218
0.0625,0.0000,0.0000,0.0000,0.0221,0.0000,200,1.0814
0.0321,0.0102,0.0000,0.0015,0.0203,0.0001,200,1.1205
0.0589,0.0326,0.0000,0.0030,0.0232,0.0000,200,1.0937
0.0299,0.0037,0.0000,0.0022,0.0239,0.0001,200,1.1237
0.0712,0.0000,0.0000,0.0006,0.0246,0.0000,200,1.0823
0.0739,0.0000,0.0000,0.0000,0.0093,0.0244,200,1.0817
0.0832,0.0018,0.0000,0.0005,0.0052,0.0754,200,1.0757
0.0805,0.0009,0.0000,0.0018,0.0041,0.0737,200,1.0785
0.0831,0.0029,0.0000,0.0026,0.0032,0.0744,200,1.0780
0.0845,0.0014,0.0000,0.0005,0.0077,0.0748,200,1.0770
0.0869,0.0042,0.0000,0.0028,0.0038,0.0758,200,1.0755
0.0875,0.0011,0.0000,0.0006,0.0057,0.0797,200,1.0755
0.0867,0.0014,0.0000,0.0007,0.0057,0.0785,200,1.0767
0.0882,0.0015,0.0000,0.0003,0.0095,0.0767,200,1.0756
0.0892,0.0016,0.0000,0.0006,0.0091,0.0776,200,1.0754
0.0838,0.0000,0.0000,0.0004,0.0096,0.0346,200,1.0814
0.0884,0.0014,0.0000,0.0004,0.0062,0.0803,200,1.0770
0.0745,0.0161,0.0000,0.0005,0.0232,0.0347,200,1.0908
0.0843,0.0195,0.0000,0.0007,0.0291,0.0349,200,1.0813
0.0756,0.0171,0.0000,0.0002,0.0226,0.0356,200,1.0908
0.0744,0.0096,0.0000,0.0003,0.0286,0.0359,200,1.0923
0.0579,0.0213,0.0000,0.0015,0.0350,0.0000,200,1.1098
0.0766,0.0148,0.0000,0.0004,0.0249,0.0364,200,1.0912
0.0759,0.0107,0.0000,0.0002,0.0286,0.0364,200,1.0919
0.0743,0.0051,0.0000,0.0009,0.0316,0.0365,200,1.0936
0.0769,0.0147,0.0000,0.0003,0.0252,0.0366,200,1.0911
0.0868,0.0000,0.0000,0.0001,0.0221,0.0367,200,1.0813
0.0781,0.0052,0.0000,0.0030,0.0331,0.0367,200,1.0900
0.0468,0.0023,0.0000,0.0007,0.0435,0.0000,200,1.1215
0.0792,0.0013,0.0000,0.0020,0.0385,0.0373,200,1.0896
0.0795,0.0033,0.0000,0.0303,0.0111,0.0347,200,1.0894
0.0754,0.0048,0.0000,0.0007,0.0351,0.0347,200,1.0934
0.0867,0.0000,0.0000,0.0002,0.0104,0.0347,200,1.0822
0.0873,0.0000,0.0000,0.0001,0.0290,0.0143,200,1.0821
0.0498,0.0017,0.0000,0.0007,0.0473,0.0001,200,1.1219
0.0930,0.0000,0.0000,0.0005,0.0440,0.0000,200,1.0827
0.0578,0.0061,0.0000,0.0062,0.0454,0.0001,200,1.1212
0.0892,0.0358,0.0000,0.0028,0.0502,0.0000,200,1.0901
0.0938,0.0000,0.0000,0.0000,0.0098,0.0001,200,1.0863
0.1005,0.0000,0.0000,0.0000,0.0601,0.0001,200,1.0817
0.1008,0.0000,0.0000,0.0003,0.0597,0.0000,200,1.0815
0.1005,0.0000,0.0000,0.0000,0.0608,0.0000,200,1.0819
0.1000,0.0000,0.0000,0.0005,0.0543,0.0000,200,1.0825
0.0607,0.0023,0.0000,0.0022,0.0561,0.0000,200,1.1219
0.1002,0.0000,0.0000,0.0001,0.0548,0.0000,200,1.0824
0.0949,0.0028,0.0000,0.0354,0.0562,0.0000,200,1.0877
0.1012,0.0000,0.0000,0.0000,0.0555,0.0001,200,1.0815
0.1008,0.0000,0.0000,0.0000,0.0601,0.0001,200,1.0819
0.0620,0.0034,0.0000,0.0077,0.0507,0.0000,200,1.1208
0.1016,0.0000,0.0000,0.0001,0.0582,0.0000,200,1.0813
0.1018,0.0000,0.0000,0.0000,0.0559,0.0000,200,1.0814
0.1019,0.0000,0.0000,0.0003,0.0585,0.0000,200,1.0816
0.1017,0.0000,0.0000,0.0000,0.0612,0.0000,200,1.0820
0.1013,0.0000,0.0000,0.0005,0.0536,0.0000,200,1.0826
0.1027,0.0000,0.0000,0.0003,0.0603,0.0001,200,1.0814
0.1084,0.0500,0.0000,0.0030,0.0548,0.0001,200,1.0757
0.0588,0.0040,0.0000,0.0347,0.0200,0.0000,200,1.1254
0.1022,0.0000,0.0000,0.0002,0.0570,0.0000,200,1.0823
0.1000,0.0000,0.0000,0.0003,0.0193,0.0000,200,1.0846
0.0601,0.0051,0.0000,0.0002,0.0547,0.0000,200,1.1248
0.1029,0.0000,0.0000,0.0000,0.0544,0.0000,200,1.0822
0.0597,0.0038,0.0000,0.0340,0.0217,0.0001,200,1.1254
0.0614,0.0033,0.0000,0.0022,0.0559,0.0000,200,1.1239
0.1043,0.0000,0.0000,0.0000,0.0637,0.0000,200,1.0816
0.0644,0.0027,0.0000,0.0022,0.0593,0.0000,200,1.1215
0.0648,0.0044,0.0000,0.0065,0.0538,0.0000,200,1.1214
0.1048,0.0000,0.0000,0.0004,0.0617,0.0001,200,1.0815
0.0646,0.0019,0.0000,0.0019,0.0607,0.0000,200,1.1219
0.1043,0.0000,0.0000,0.0005,0.0592,0.0000,200,1.0822
0.1049,0.0000,0.0000,0.0000,0.0602,0.0001,200,1.0817
0.0647,0.0031,0.0000,0.0023,0.0591,0.0001,200,1.1222
0.1032,0.0000,0.0000,0.0076,0.0214,0.0000,200,1.0839
0.0661,0.0068,0.0000,0.0058,0.0533,0.0001,200,1.1212
0.0614,0.0067,0.0000,0.0015,0.0529,0.0001,200,1.1259
0.1049,0.0000,0.0000,0.0002,0.0540,0.0000,200,1.0825
0.1035,0.0000,0.0000,0.0003,0.0272,0.0000,200,1.0839
0.0635,0.0052,0.0000,0.0002,0.0579,0.0000,200,1.1242
0.0937,0.0298,0.0000,0.0008,0.0631,0.0000,200,1.0940
0.1060,0.0000,0.0000,0.0003,0.0624,0.0000,200,1.0821
0.0641,0.0029,0.0000,0.0331,0.0280,0.0000,200,1.1241
0.0604,0.0028,0.0000,0.0360,0.0214,0.0000,200,1.1279
0.0607,0.0025,0.0000,0.0013,0.0569,0.0000,200,1.1276
0.0661,0.0037,0.0000,0.0022,0.0600,0.0001,200,1.1271
0.0668,0.0051,0.0000,0.0010,0.0606,0.0000,200,1.1265
0.1074,0.0000,0.0000,0.0002,0.0332,0.0000,200,1.0860
0.1077,0.0000,0.0000,0.0002,0.0327,0.0000,200,1.0857
0.0677,0.0055,0.0000,0.0020,0.0601,0.0000,200,1.1257
0.1155,0.0530,0.0000,0.0015,0.0609,0.0000,200,1.0779
0.0648,0.0028,0.0000,0.0372,0.0247,0.0000,200,1.1287
0.0649,0.0029,0.0000,0.0002,0.0617,0.0000,200,1.1286
0.0697,0.0031,0.0000,0.0021,0.0645,0.0000,200,1.1238
0.1129,0.0023,0.0000,0.0504,0.0601,0.0000,200,1.0806
0.1128,0.0022,0.0000,0.0500,0.0605,0.0000,200,1.0808
0.1149,0.0532,0.0000,0.0002,0.0614,0.0000,200,1.0787
0.1101,0.0000,0.0000,0.0074,0.0282,0.0000,200,1.0836
0.0693,0.0023,0.0000,0.0007,0.0662,0.0000,200,1.1244
0.1111,0.0000,0.0000,0.0000,0.0626,0.0000,200,1.0826
0.0675,0.0043,0.0000,0.0348,0.0282,0.0000,200,1.1263
0.0749,0.0057,0.0000,0.0064,0.0626,0.0001,200,1.1206
0.1123,0.0000,0.0000,0.0077,0.0301,0.0001,200,1.0833
0.0725,0.0014,0.0000,0.0020,0.0689,0.0000,200,1.1232
0.1128,0.0000,0.0000,0.0002,0.0610,0.0000,200,1.0830
0.0677,0.0029,0.0000,0.0002,0.0644,0.0001,200,1.1281
0.0684,0.0024,0.0000,0.0001,0.0657,0.0001,200,1.1279
0.1139,0.0000,0.0000,0.0004,0.0674,0.0000,200,1.0825
0.1132,0.0000,0.0000,0.0077,0.0307,0.0001,200,1.0834
0.1027,0.0299,0.0000,0.0019,0.0707,0.0000,200,1.0939
0.0716,0.0050,0.0000,0.0002,0.0663,0.0000,200,1.1251
0.1192,0.0482,0.0000,0.0062,0.0647,0.0000,200,1.0775
0.0685,0.0041,0.0000,0.0009,0.0633,0.0000,200,1.1283
0.1145,0.0000,0.0000,0.0004,0.0688,0.0000,200,1.0823
0.1115,0.0000,0.0000,0.0075,0.0304,0.0000,200,1.0854
0.1145,0.0000,0.0000,0.0005,0.0683,0.0000,200,1.0824
0.1153,0.0000,0.0000,0.0000,0.0694,0.0000,200,1.0816
0.0751,0.0039,0.0000,0.0027,0.0684,0.0000,200,1.1218
0.1077,0.0032,0.0000,0.0301,0.0743,0.0000,200,1.0892
0.1138,0.0000,0.0000,0.0075,0.0320,0.0000,200,1.0835
0.0719,0.0050,0.0000,0.0360,0.0259,0.0049,200,1.1258
0.1165,0.0000,0.0000,0.0001,0.0765,0.0001,200,1.0814
0.0745,0.0018,0.0000,0.0007,0.0718,0.0001,200,1.1234
0.0704,0.0027,0.0000,0.0003,0.0673,0.0001,200,1.1275
0.0731,0.0030,0.0000,0.0022,0.0676,0.0001,200,1.1249
0.0713,0.0041,0.0000,0.0011,0.0657,0.0000,200,1.1267
0.1132,0.0000,0.0000,0.0002,0.0367,0.0000,200,1.0848
