response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0220,0.0096,0.0000,0.0005,0.0118,0.0001,200,1.0865
0.0249,0.0126,0.0000,0.0006,0.0116,0.0000,200,1.0852
0.0188,0.0008,0.0000,0.0005,0.0173,0.0000,200,1.0968
0.0179,0.0008,0.0000,0.0008,0.0162,0.0000,200,1.0978
0.0183,0.0009,0.0000,0.0012,0.0161,0.0000,200,1.0974
0.0317,0.0093,0.0000,0.0008,0.0215,0.0001,200,1.0865
0.0318,0.0106,0.0000,0.0014,0.0197,0.0000,200,1.0871
0.0223,0.0007,0.0000,0.0004,0.0211,0.0000,200,1.0969
0.0339,0.0110,0.0000,0.0012,0.0216,0.0000,200,1.0866
0.0247,0.0057,0.0000,0.0053,0.0135,0.0000,200,1.1012
0.0305,0.0026,0.0000,0.0010,0.0268,0.0000,200,1.0996
0.0342,0.0021,0.0000,0.0021,0.0299,0.0000,200,1.0989
0.0341,0.0050,0.0000,0.0052,0.0238,0.0000,200,1.1019
0.0519,0.0229,0.0000,0.0055,0.0232,0.0000,200,1.0841
0.0520,0.0000,0.0000,0.0000,0.0206,0.0000,200,1.0840
0.0384,0.0012,0.0000,0.0010,0.0362,0.0000,200,1.0977
0.0383,0.0026,0.0000,0.0022,0.0334,0.0000,200,1.0978
0.0365,0.0021,0.0000,0.0006,0.0337,0.0000,200,1.0996
0.0521,0.0150,0.0000,0.0007,0.0341,0.0000,200,1.0841
0.0367,0.0027,0.0000,0.0011,0.0328,0.0000,200,1.0995
0.0399,0.0042,0.0000,0.0025,0.0331,0.0000,200,1.0963
0.0374,0.0022,0.0000,0.0006,0.0345,0.0000,200,1.0989
0.0525,0.0162,0.0000,0.0018,0.0342,0.0000,200,1.0838
0.0392,0.0016,0.0000,0.0016,0.0359,0.0000,200,1.0971
0.0382,0.0007,0.0000,0.0008,0.0367,0.0000,200,1.0981
0.0405,0.0065,0.0000,0.0007,0.0332,0.0000,200,1.0958
0.0393,0.0018,0.0000,0.0018,0.0356,0.0000,200,1.0971
0.0406,0.0018,0.0000,0.0011,0.0376,0.0000,200,1.0958
0.0399,0.0070,0.0000,0.0020,0.0309,0.0000,200,1.0965
0.0364,0.0021,0.0000,0.0006,0.0336,0.0000,200,1.1000
0.0499,0.0097,0.0000,0.0004,0.0398,0.0000,200,1.0865
0.0371,0.0015,0.0000,0.0018,0.0337,0.0000,200,1.0993
0.0372,0.0017,0.0000,0.0019,0.0336,0.0000,200,1.0992
0.0366,0.0023,0.0000,0.0007,0.0336,0.0000,200,1.0999
0.0368,0.0028,0.0000,0.0008,0.0331,0.0000,200,1.0997
0.0370,0.0016,0.0000,0.0003,0.0350,0.0000,200,1.0995
0.0384,0.0023,0.0000,0.0021,0.0340,0.0000,200,1.0981
0.0394,0.0017,0.0000,0.0017,0.0360,0.0000,200,1.0971
0.0500,0.0115,0.0000,0.0014,0.0371,0.0000,200,1.0866
0.0500,0.0108,0.0000,0.0012,0.0380,0.0000,200,1.0866
0.0389,0.0011,0.0000,0.0009,0.0369,0.0000,200,1.0977
0.0404,0.0047,0.0000,0.0028,0.0328,0.0000,200,1.0963
0.0376,0.0020,0.0000,0.0022,0.0334,0.0000,200,1.0991
0.0392,0.0014,0.0000,0.0011,0.0367,0.0000,200,1.0975
0.0395,0.0012,0.0000,0.0013,0.0368,0.0000,200,1.0973
0.0375,0.0019,0.0000,0.0006,0.0348,0.0000,200,1.0993
0.0401,0.0005,0.0000,0.0010,0.0386,0.0000,200,1.0967
0.0403,0.0008,0.0000,0.0011,0.0384,0.0000,200,1.0965
0.0395,0.0011,0.0000,0.0012,0.0371,0.0000,200,1.0974
0.0394,0.0012,0.0000,0.0015,0.0367,0.0000,200,1.0975
0.0408,0.0030,0.0000,0.0013,0.0365,0.0000,200,1.0961
0.0332,0.0155,0.0000,0.0117,0.0059,0.0000,200,1.1037
0.0381,0.0023,0.0000,0.0023,0.0334,0.0000,200,1.0989
0.0403,0.0119,0.0000,0.0062,0.0221,0.0000,200,1.0967
0.0365,0.0071,0.0000,0.0059,0.0234,0.0000,200,1.1005
0.0323,0.0123,0.0000,0.0096,0.0103,0.0000,200,1.1048
0.0332,0.0144,0.0000,0.0111,0.0075,0.0000,200,1.1039
0.0333,0.0152,0.0000,0.0115,0.0066,0.0000,200,1.1039
0.0514,0.0000,0.0000,0.0000,0.0080,0.0000,200,1.0858
0.0329,0.0137,0.0000,0.0109,0.0082,0.0000,200,1.1043
0.0381,0.0015,0.0000,0.0017,0.0347,0.0000,200,1.0992
0.0362,0.0066,0.0000,0.0059,0.0236,0.0000,200,1.1012
0.0367,0.0093,0.0000,0.0053,0.0220,0.0000,200,1.1007
0.0323,0.0105,0.0000,0.0074,0.0142,0.0000,200,1.1052
0.0409,0.0070,0.0000,0.0020,0.0318,0.0000,200,1.0966
0.0538,0.0121,0.0000,0.0044,0.0368,0.0001,200,1.0837
0.0328,0.0120,0.0000,0.0093,0.0114,0.0000,200,1.1049
0.0406,0.0019,0.0000,0.0018,0.0368,0.0000,200,1.0971
0.0398,0.0018,0.0000,0.0018,0.0362,0.0000,200,1.0983
0.0519,0.0303,0.0000,0.0087,0.0129,0.0000,200,1.0862
0.0374,0.0090,0.0000,0.0052,0.0231,0.0000,200,1.1008
0.0406,0.0029,0.0000,0.0026,0.0350,0.0000,200,1.0977
0.0387,0.0027,0.0000,0.0008,0.0352,0.0001,200,1.0997
0.0400,0.0036,0.0000,0.0037,0.0327,0.0000,200,1.0985
0.0411,0.0017,0.0000,0.0014,0.0380,0.0000,200,1.0975
0.0532,0.0000,0.0000,0.0000,0.0158,0.0001,200,1.0854
0.0405,0.0014,0.0000,0.0016,0.0373,0.0000,200,1.0982
0.0366,0.0042,0.0000,0.0046,0.0277,0.0000,200,1.1021
0.0407,0.0022,0.0000,0.0019,0.0365,0.0000,200,1.0981
0.0370,0.0048,0.0000,0.0051,0.0269,0.0001,200,1.1019
0.0425,0.0031,0.0000,0.0032,0.0361,0.0000,200,1.0987
0.0364,0.0121,0.0000,0.0094,0.0148,0.0000,200,1.1049
0.0382,0.0171,0.0000,0.0121,0.0089,0.0000,200,1.1031
0.0384,0.0179,0.0000,0.0124,0.0080,0.0000,200,1.1030
0.0376,0.0122,0.0000,0.0077,0.0176,0.0000,200,1.1038
0.0427,0.0027,0.0000,0.0027,0.0372,0.0000,200,1.0988
0.0397,0.0047,0.0000,0.0048,0.0300,0.0000,200,1.1018
0.0566,0.0115,0.0000,0.0002,0.0027,0.0422,200,1.0853
0.0425,0.0065,0.0000,0.0056,0.0302,0.0000,200,1.1008
0.0468,0.0018,0.0000,0.0005,0.0444,0.0000,200,1.0994
0.0419,0.0122,0.0000,0.0095,0.0200,0.0000,200,1.1048
0.0492,0.0069,0.0000,0.0061,0.0362,0.0001,200,1.1011
0.0495,0.0063,0.0000,0.0054,0.0378,0.0000,200,1.1009
0.0503,0.0072,0.0000,0.0060,0.0370,0.0000,200,1.1011
0.0467,0.0117,0.0000,0.0089,0.0260,0.0000,200,1.1049
0.0482,0.0163,0.0000,0.0117,0.0201,0.0000,200,1.1035
0.0482,0.0133,0.0000,0.0106,0.0242,0.0000,200,1.1045
0.0477,0.0000,0.0000,0.0000,0.0160,0.0000,200,1.1055
0.0718,0.0185,0.0000,0.0121,0.0410,0.0001,200,1.1018
0.0904,0.0000,0.0000,0.0000,0.0458,0.0000,200,1.0863
0.0912,0.0000,0.0000,0.0000,0.0385,0.0000,200,1.0855
0.0798,0.0020,0.0000,0.0019,0.0756,0.0000,200,1.0970
0.0754,0.0038,0.0000,0.0042,0.0673,0.0000,200,1.1023
0.0722,0.0000,0.0000,0.0000,0.0405,0.0000,200,1.1055
0.0403,0.0000,0.0000,0.0000,0.0392,0.0000,200,1.1375
0.0820,0.0241,0.0000,0.0118,0.0459,0.0000,200,1.0958
0.0726,0.0105,0.0000,0.0075,0.0544,0.0000,200,1.1052
