response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0203,0.0086,0.0000,0.0042,0.0069,0.0001,200,1.0848
0.0173,0.0077,0.0000,0.0001,0.0068,0.0001,200,1.0884
0.0136,0.0049,0.0000,0.0008,0.0078,0.0000,200,1.0923
0.0146,0.0066,0.0000,0.0001,0.0078,0.0000,200,1.0917
0.0168,0.0062,0.0000,0.0004,0.0101,0.0000,200,1.0920
0.0168,0.0061,0.0000,0.0002,0.0104,0.0000,200,1.0921
0.0177,0.0071,0.0000,0.0001,0.0104,0.0000,200,1.0913
0.0190,0.0055,0.0000,0.0035,0.0100,0.0000,200,1.0904
0.0172,0.0056,0.0000,0.0003,0.0112,0.0000,200,1.0924
0.0255,0.0082,0.0000,0.0045,0.0112,0.0000,200,1.0863
0.0147,0.0018,0.0000,0.0003,0.0126,0.0000,200,1.0977
0.0156,0.0023,0.0000,0.0019,0.0111,0.0000,200,1.0973
0.0167,0.0039,0.0000,0.0022,0.0106,0.0000,200,1.0961
0.0205,0.0057,0.0000,0.0004,0.0142,0.0000,200,1.0924
0.0230,0.0079,0.0000,0.0001,0.0148,0.0000,200,1.0908
0.0161,0.0018,0.0000,0.0020,0.0122,0.0000,200,1.0980
0.0305,0.0118,0.0000,0.0012,0.0174,0.0000,200,1.0884
0.0295,0.0082,0.0000,0.0001,0.0212,0.0000,200,1.0906
0.0218,0.0020,0.0000,0.0013,0.0184,0.0000,200,1.0984
0.0227,0.0026,0.0000,0.0022,0.0179,0.0000,200,1.0975
0.0327,0.0128,0.0000,0.0013,0.0183,0.0000,200,1.0876
0.0216,0.0014,0.0000,0.0011,0.0190,0.0000,200,1.0987
0.0263,0.0064,0.0000,0.0025,0.0174,0.0000,200,1.0940
0.0282,0.0062,0.0000,0.0031,0.0187,0.0001,200,1.1059
0.0300,0.0047,0.0000,0.0019,0.0234,0.0000,200,1.1042
0.0336,0.0052,0.0000,0.0019,0.0263,0.0000,200,1.1007
0.0334,0.0021,0.0000,0.0045,0.0266,0.0001,200,1.1010
0.0340,0.0042,0.0000,0.0042,0.0255,0.0000,200,1.1004
0.0498,0.0191,0.0000,0.0006,0.0297,0.0000,200,1.0846
0.0364,0.0013,0.0000,0.0048,0.0302,0.0000,200,1.0981
0.0360,0.0024,0.0000,0.0018,0.0317,0.0000,200,1.0985
0.0330,0.0042,0.0000,0.0019,0.0269,0.0000,200,1.1015
0.0372,0.0019,0.0000,0.0019,0.0334,0.0000,200,1.0974
0.0333,0.0042,0.0000,0.0019,0.0271,0.0000,200,1.1014
0.0398,0.0056,0.0000,0.0026,0.0314,0.0000,200,1.0948
0.0406,0.0082,0.0000,0.0004,0.0301,0.0000,200,1.0941
0.0325,0.0039,0.0000,0.0005,0.0280,0.0000,200,1.1023
0.0470,0.0126,0.0000,0.0012,0.0332,0.0000,200,1.0878
0.0346,0.0050,0.0000,0.0046,0.0250,0.0000,200,1.1002
0.0481,0.0128,0.0000,0.0004,0.0349,0.0000,200,1.0867
0.0403,0.0064,0.0000,0.0029,0.0310,0.0000,200,1.0946
0.0324,0.0048,0.0000,0.0019,0.0255,0.0001,200,1.1025
0.0330,0.0029,0.0000,0.0003,0.0296,0.0000,200,1.1020
0.0395,0.0051,0.0000,0.0025,0.0319,0.0000,200,1.0955
0.0301,0.0089,0.0000,0.0052,0.0160,0.0000,200,1.1049
0.0391,0.0042,0.0000,0.0023,0.0324,0.0000,200,1.0960
0.0378,0.0030,0.0000,0.0022,0.0326,0.0000,200,1.0973
0.0395,0.0046,0.0000,0.0024,0.0323,0.0000,200,1.0957
0.0468,0.0123,0.0000,0.0015,0.0330,0.0000,200,1.0884
0.0367,0.0022,0.0000,0.0016,0.0327,0.0000,200,1.0985
0.0341,0.0030,0.0000,0.0006,0.0304,0.0000,200,1.1012
0.0435,0.0064,0.0000,0.0001,0.0370,0.0000,200,1.0918
0.0379,0.0033,0.0000,0.0017,0.0327,0.0000,200,1.0975
0.0340,0.0028,0.0000,0.0005,0.0306,0.0000,200,1.1013
0.0513,0.0000,0.0000,0.0000,0.0311,0.0001,200,1.0856
0.0528,0.0000,0.0000,0.0000,0.0307,0.0000,200,1.0846
0.0324,0.0084,0.0000,0.0049,0.0189,0.0000,200,1.1051
0.0337,0.0056,0.0000,0.0024,0.0257,0.0000,200,1.1038
0.0349,0.0046,0.0000,0.0018,0.0284,0.0000,200,1.1026
0.0325,0.0083,0.0000,0.0048,0.0192,0.0000,200,1.1051
0.0390,0.0006,0.0000,0.0034,0.0350,0.0000,200,1.0986
0.0359,0.0037,0.0000,0.0002,0.0318,0.0000,200,1.1019
0.0480,0.0111,0.0000,0.0020,0.0346,0.0002,200,1.0899
0.0365,0.0039,0.0000,0.0018,0.0304,0.0004,200,1.1016
0.0424,0.0060,0.0000,0.0026,0.0337,0.0000,200,1.1019
0.0452,0.0069,0.0000,0.0007,0.0374,0.0000,200,1.0992
0.0442,0.0046,0.0000,0.0044,0.0351,0.0000,200,1.1003
0.0491,0.0058,0.0000,0.0004,0.0426,0.0001,200,1.0991
0.0485,0.0090,0.0000,0.0054,0.0340,0.0000,200,1.1050
0.0599,0.0056,0.0000,0.0026,0.0516,0.0000,200,1.0952
0.0559,0.0000,0.0000,0.0005,0.0216,0.0000,200,1.1063
0.0260,0.0073,0.0000,0.0098,0.0088,0.0000,200,1.1411
0.0649,0.0000,0.0000,0.0008,0.0308,0.0001,200,1.1033
0.0696,0.0077,0.0000,0.0053,0.0564,0.0001,200,1.0992
0.0653,0.0041,0.0000,0.0018,0.0593,0.0000,200,1.1045
0.0325,0.0000,0.0000,0.0001,0.0238,0.0000,200,1.1374
0.0706,0.0000,0.0000,0.0001,0.0312,0.0000,200,1.0994
0.0640,0.0057,0.0000,0.0026,0.0555,0.0000,200,1.1060
0.0711,0.0086,0.0000,0.0057,0.0568,0.0000,200,1.0989
