algorithm,level,qps,total_req,p50_us,p90_us,p95_us,p99_us,errors
prequal,100pct,389.2625,23943,393500,1505800,2101200,3589300,0
prequal,110pct,392.9594,24125,399400,1493600,2069900,3489100,0
prequal,125pct,393.5658,24120,391000,1493200,2080200,3408800,0
prequal,145pct,393.6257,24137,399200,1494300,2009000,3317500,0
prequal,165pct,394.7934,24266,391800,1702200,2343000,3914500,0
prequal,180pct,406.0746,24851,391400,1654700,2271600,3818800,0
prequal,60pct,293.6086,17984,347800,755800,856800,1127900,0
prequal,75pct,293.8725,17984,396400,795000,909800,1201900,0
prequal,90pct,291.6483,17911,414000,856900,992200,1594400,0
rr,100pct,358.7211,22100,406000,1777800,2381700,3794500,0
rr,110pct,355.0302,21801,455100,1787200,2387100,3885600,0
rr,125pct,354.2229,21743,444200,1781600,2399600,3890500,0
rr,145pct,360.0130,22076,451900,1749300,2341300,3692900,0
rr,165pct,368.0394,22548,410700,1899000,2554500,4106100,0
rr,180pct,358.6549,21949,435300,1969300,2607100,4241600,0
rr,60pct,294.0157,17984,402500,786400,892200,1137000,0
rr,75pct,293.8639,17982,398600,799000,913700,1210800,0
rr,90pct,291.2741,17889,365700,816300,989900,1618700,0
